,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
162,Kavaratti,10.5669,72.642,81.97,73,84,8.88,broken clouds,Hotels in Lakshadweep Islands
164,Tual,-5.6667,132.75,84.18,72,95,0.56,overcast clouds,Grand Vilia Hotel
167,Dingle,10.9995,122.6711,77.95,92,25,8.03,scattered clouds,SEGAYA PROPERTY
169,Dungarpur,23.8333,73.7167,76.89,27,45,5.44,scattered clouds,Gayatri Hotel
172,Adre,13.4667,22.2,91.54,15,8,3.04,clear sky,
178,Bubaque,11.2833,-15.8333,83.62,72,11,5.23,few clouds,"Casa Dora, Bubaque"
183,Chipinge,-20.1883,32.6236,93.92,17,40,12.53,scattered clouds,Chipinge Breeze Lodge
184,Pangkalanbuun,-2.6833,111.6167,75.79,96,97,1.48,overcast clouds,Grand Kecubung Hotel
186,Sao Joao Da Barra,-21.6403,-41.0511,78.89,61,9,5.61,clear sky,Pousada Porto De Canoas
189,Eyl,7.9803,49.8164,81.57,57,10,17.18,clear sky,Amiin Hotel
193,Sisophon,13.5859,102.9737,80.35,81,30,2.17,scattered clouds,Pyramid Hotel
194,Faanui,-16.4833,-151.75,79.41,73,0,7.65,clear sky,Bora-Bora Pearl Beach Resort & Spa
195,Palu,-0.8917,119.8707,76.87,96,60,1.48,broken clouds,Hotel Santika Palu
197,Malangali,-8.5667,34.85,85.14,21,74,13.18,broken clouds,
200,Namatanai,-3.6667,152.4333,80.02,81,0,9.15,clear sky,Seagulls Inn Namatani
202,Acajutla,13.5928,-89.8275,77.34,63,64,7.72,broken clouds,asi es
206,Jipapad,12.2861,125.2353,76.96,96,100,2.13,overcast clouds,
214,Mae Ramat,16.984,98.5166,76.14,87,21,2.17,few clouds,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
216,Sur,22.5667,59.5289,81.57,43,0,7.94,clear sky,Sur Plaza Hotel
217,Bani Walid,31.7566,13.9942,86.63,16,100,6.69,overcast clouds,منزل الصابر أبوفانة
218,Dois Corregos,-22.3661,-48.3803,81.75,46,29,7.63,scattered clouds,Hotel Pousada Aquino Paraiso
219,Najran,17.4924,44.1277,83.05,13,3,14.7,clear sky,محمد هادي ال فطيح
222,Messina,38.1933,15.5497,77.79,54,20,8.99,few clouds,Hotel Touring
224,Warmbad,-28.45,18.7333,82.58,14,14,6.46,few clouds,
225,Alofi,-19.0595,-169.9187,76.89,88,100,11.5,light rain,Taloa Heights
226,Cockburn Town,21.4612,-71.1419,82.62,74,61,14.41,broken clouds,Osprey Beach Hotel
229,Natal,-5.795,-35.2094,88.45,62,40,13.8,scattered clouds,Villa Park Hotel | Natal
230,Inirida,3.8653,-67.9239,80.15,83,96,2.64,overcast clouds,Fuente del Guania Hotel de Lujo
